"행정구역(시군구)별",2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"대전광역시",1531809,1518775,1514370,1502227,1489936,1474870,1463882,1452251,1446072,1442216
"세종특별자치시",156125,210884,243048,280100,314126,340575,355831,371895,383591,386525
"충청북도",1578933,1583952,1591625,1594432,1599252,1600007,1600837,1597427,1595058,1593469
"충청남도",2062273,2077649,2096727,2116770,2126282,2123709,2121029,2119257,2123037,2130119
