"행정구역(시군구)별",2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구간 전입 (명),시도간전입 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구간 전입 (명),시도간전입 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구간 전입 (명),시도간전입 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구간 전입 (명),시도간전입 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구간 전입 (명),시도간전입 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구간 전입 (명),시도간전입 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구간 전입 (명),시도간전입 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구간 전입 (명),시도간전입 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구간 전입 (명),시도간전입 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구간 전입 (명),시도간전입 (명)
"대전광역시",239559,248397,-8838,83546,82598,220774,241390,-20616,71515,81165,219252,229883,-10631,71238,80376,211449,227624,-16175,67475,79793,212879,227632,-14753,67848,79561,212424,228766,-16342,68178,78429,232321,243418,-11097,77135,81741,211565,220496,-8931,69778,80030,198705,201701,-2996,66849,75421,186084,188558,-2474,60157,73374
"세종특별자치시",56526,23070,33456,0,46071,83994,30950,53044,0,70004,65052,35236,29816,0,50506,82073,47383,34690,0,58828,86433,55000,31433,0,57983,82398,58674,23724,0,54017,78934,65909,13025,0,48889,76912,62827,14085,0,46875,65529,55401,10128,0,40237,56050,54360,1690,0,34247
"충청북도",215944,213577,2367,31277,79330,214626,213188,1438,26711,81362,202679,197668,5011,23690,78523,197177,194915,2262,24344,77352,218886,213737,5149,26684,80016,211396,208831,2565,25414,78012,229895,226441,3454,28216,82742,214300,210838,3462,26250,82870,185419,180218,5201,22333,76181,186341,182468,3873,20994,73162
"충청남도",289627,279817,9810,43299,124526,289952,279680,10272,42167,126456,286764,271446,15318,44983,123758,288738,269337,19401,41562,127126,292305,282221,10084,43410,122640,258790,259584,-794,39607,114837,287127,286386,741,45904,123761,282195,273673,8522,46065,125686,260488,246174,14314,44323,116696,266056,250216,15840,46143,116180
